m,BRinv,Gh_SM,Ginv_per_lam2,LZ2024,Mdm,Mdm_ref,Mh,Omega,PandaX4T,XENON1T,Xf,lam_planck,n_iter,sSIn,sSIn_per_lam2,sSIp,sSIp_per_lam2,sigmaV
65.5,0.0,0.003944141,0.0,2.599827e-48,65.500037,65.5000107,125.548349,0.12109125,4.314369e-47,6.374296e-47,22.16698,0.03459826455136799,3,1.605659e-45,1.341359e-42,1.562915e-45,1.305651e-42,3.273267e-26
65.793,0.0,0.003944141,0.0,2.607152e-48,65.7930399,65.7930106,125.548349,0.119992085,4.333485e-47,6.398613e-47,22.20953,0.03749057369225745,4,1.868207e-45,1.329172e-42,1.818463e-45,1.293781e-42,3.181297e-26
66.0,0.0,0.003944141,0.0,2.612333e-48,66.0000418,66.0000106,125.548349,0.120045736,4.346719e-47,6.415789e-47,22.22993,0.03935696882425127,4,2.045663e-45,1.320661e-42,1.991186e-45,1.285491e-42,3.104547e-26
66.5,0.0,0.003944141,0.0,2.624866e-48,66.5000461,66.5000105,125.548349,0.120051404,4.377842e-47,6.45726e-47,22.28881,0.04374837436363685,4,2.488923e-45,1.300433e-42,2.422618e-45,1.2657899999999999e-42,2.957117e-26
67.0,0.0,0.003944141,0.0,2.637421e-48,67.0000501,67.0000105,125.548349,0.12005849,4.408814e-47,6.498706e-47,22.31722,0.04787194679107438,4,2.934922e-45,1.2806629999999999e-42,2.856707e-45,1.246534e-42,2.835847e-26
67.5,0.0,0.003944141,0.0,2.649993e-48,67.5000537,67.5000104,125.548349,0.120062887,4.439754e-47,6.540126e-47,22.32999,0.051744386587817104,4,3.3772e-45,1.261336e-42,3.287167e-45,1.22771e-42,2.734356e-26
68.0,0.0,0.003944141,0.0,2.662577e-48,68.0000569,68.0000103,125.548349,0.120911762,4.470665e-47,6.581518e-47,22.35437,0.055192859969987663,2,3.78478e-45,1.24244e-42,3.683846e-45,1.209306e-42,2.631126e-26
68.5,0.0,0.003944141,0.0,2.675171e-48,68.5000601,68.5000102,125.548349,0.120051786,4.501551e-47,6.622879e-47,22.39486,0.05879963527498063,3,4.231715e-45,1.2239619999999999e-42,4.118823e-45,1.191309e-42,2.577577e-26
69.0,0.0,0.003944141,0.0,2.687768e-48,69.0000629,69.0000102,125.548349,0.120085041,4.532417e-47,6.664209e-47,22.44056,0.06194018278278514,3,4.626489e-45,1.2058889999999998e-42,4.503023e-45,1.1737069999999999e-42,2.511966e-26
69.5,0.0,0.003944141,0.0,2.700365e-48,69.5000653,69.5000101,125.548349,0.120108643,4.563267e-47,6.705503e-47,22.45267,0.06482146704369955,3,4.992639e-45,1.1882099999999998e-42,4.859356e-45,1.1564889999999998e-42,2.452591e-26
70.0,0.0,0.003944141,0.0,2.712959e-48,70.0000675,70.00001,125.548349,0.120130311,4.594104e-47,6.746762e-47,22.4867,0.06743219476663194,3,5.324253e-45,1.170913e-42,5.182069e-45,1.139644e-42,2.397589e-26
72.0,0.0,0.003944141,0.0,2.763219e-48,72.0000729,72.0000097,125.548349,0.120233153,4.717365e-47,6.911385e-47,22.62981,0.07493916409608128,3,6.207453e-45,1.1053420000000001e-42,6.041464e-45,1.075784e-42,2.195494e-26
73.053,0.0,0.003944141,0.0,2.789552e-48,73.0530736,73.0530096,125.548349,0.120254427,4.782168e-47,6.99772e-47,22.71587,0.07676875988595659,3,6.323598e-45,1.0729909999999998e-42,6.154388e-45,1.0442789999999999e-42,2.084875e-26
74.0,0.0,0.003944141,0.0,2.813123e-48,74.0000729,74.0000095,125.548349,0.120278308,4.840355e-47,7.075168e-47,22.78272,0.07699919699470231,3,6.196164e-45,1.0450839999999999e-42,6.030264e-45,1.0171019999999999e-42,1.97472e-26
76.0,0.0,0.003944141,0.0,2.862458e-48,76.0000671,76.0000092,125.548349,0.120362941,4.962768e-47,7.238215e-47,22.93867,0.07280872671851116,3,5.245887e-45,9.895842999999999e-43,5.105258e-45,9.630558999999999e-43,1.701899e-26
78.0,0.0,0.003944141,0.0,2.911031e-48,78.0000555,78.000009,125.548349,0.120191919,5.084532e-47,7.400708e-47,23.05589,0.061808851996037556,3,3.58483e-45,9.383560999999999e-43,3.488614e-45,9.13171e-43,1.372483e-26
80.0,0.0,0.003944141,0.0,2.958664e-48,80.0000418,80.0000088,125.548349,0.11930661,5.206727e-47,7.562816e-47,22.95608,0.047772184637087725,2,2.033363e-45,8.909741999999999e-43,1.978725e-45,8.670330999999999e-43,1.223067e-26
81.113,0.0,0.003944141,0.0,2.98471e-48,81.1130356,81.1130086,125.548349,0.11987443,5.275277e-47,7.652922e-47,22.86977,0.04125402667768989,3,1.474065e-45,8.66132e-43,1.43443e-45,8.428438000000001e-43,1.426934e-26
82.0,0.0,0.003944141,0.0,3.005451e-48,82.0000328,82.0000085,125.548349,0.11984734,5.33009e-47,7.724699e-47,22.82306,0.03834601310732157,3,1.24452e-45,8.46373e-43,1.211024e-45,8.235927e-43,1.676929e-26
84.0,0.0,0.003944141,0.0,3.05271e-48,84.0000299,84.0000083,125.548349,0.119830274,5.453593e-47,7.886506e-47,22.79087,0.03582562487440752,3,1.034062e-45,8.056735e-43,1.0062e-45,7.839656e-43,1.934999e-26
86.0,0.0,0.003944141,0.0,3.100614e-48,86.0000284,86.0000081,125.548349,0.119825367,5.575952e-47,8.048376e-47,22.80197,0.03492212584249705,3,9.363953e-46,7.678176e-43,9.111392e-46,7.471084e-43,2.16273e-26
88.0,0.0,0.003944141,0.0,3.149117e-48,88.0000278,88.000008,125.548349,0.119821562,5.697317e-47,8.210442e-47,22.81333,0.03490075301258307,3,8.922885e-46,7.325477e-43,8.68198e-46,7.127699e-43,2.147115e-26
90.0,0.0,0.003944141,0.0,3.198177e-48,90.000027,90.0000078,125.548349,0.119827455,5.818556e-47,8.372828e-47,22.81772,0.03471955058553326,3,8.433719e-46,6.996343999999999e-43,8.205799e-46,6.807267999999999e-43,2.093233e-26
90.063,0.0,0.003944141,0.0,3.199732e-48,90.063027,90.0630078,125.548349,0.119826931,5.822383e-47,8.377949e-47,22.81833,0.03470577316274796,3,8.414973e-46,6.986336e-43,8.187552e-46,6.797524999999999e-43,2.09143e-26
100.0,0.0,0.003944141,0.0,3.450611e-48,100.000025,100.000007,125.548349,0.119852067,6.411384e-47,9.19328e-47,22.89475,0.036002888416712585,3,7.310139e-46,5.639636e-43,7.111691e-46,5.4865379999999994e-43,2.193727e-26
111.034,0.0,0.003944141,0.0,3.739753e-48,111.034025,111.034006,125.548349,0.119902392,6.933237e-47,1.011574e-46,22.98272,0.04022410836087747,3,7.365394e-46,4.55222e-43,7.16457e-46,4.4281e-43,2.168481e-26
120.0,0.0,0.003944141,0.0,3.980398e-48,120.000025,120.000006,125.548349,0.119927431,7.331263e-47,1.08732e-46,23.09134,0.04344297220286008,3,7.328748e-46,3.88321e-43,7.128286e-46,3.776993e-43,2.130089e-26
123.285,0.0,0.003944141,0.0,4.0695e-48,123.285025,123.285006,125.548349,0.11990663,7.473348e-47,1.115165e-46,23.15112,0.04383820109730462,3,7.061324e-46,3.674352e-43,6.867965e-46,3.573738e-43,2.047109e-26
125.0,0.0,0.003944141,0.0,4.116178e-48,125.000024,125.000006,125.548349,0.119857031,7.548195e-47,1.129712e-46,23.17302,0.04318421518990948,3,6.661139e-46,3.571894e-43,6.478636e-46,3.4740309999999994e-43,1.929281e-26
130.0,0.0,0.003944141,0.0,4.252804e-48,130.000023,130.000005,125.548349,0.119734421,7.766377e-47,1.172138e-46,23.16296,0.04178628562919904,3,5.755665e-46,3.296311e-43,5.597723e-46,3.2058559999999995e-43,2.07886e-26
136.887,0.0,0.003944141,0.0,4.442011e-48,136.887022,136.887005,125.548349,0.119754778,8.057135e-47,1.230614e-46,23.19719,0.0427117291738462,3,5.410342e-46,2.9657219999999996e-43,5.26157e-46,2.8841719999999998e-43,2.1142e-26
151.991,0.0,0.003944141,0.0,4.859078e-48,151.991021,151.991005,125.548349,0.119895976,8.715199e-47,1.361691e-46,23.2887,0.04647998844355381,3,5.171268e-46,2.393674e-43,5.028486e-46,2.327584e-43,2.134883e-26
168.761,0.0,0.003944141,0.0,5.321685e-48,168.761021,168.761004,125.548349,0.120446103,9.586538e-47,1.505955e-46,23.39109,0.051256158166604726,2,5.075649e-46,1.9319659999999997e-43,4.934944e-46,1.8784089999999997e-43,2.131127e-26
170.0,0.0,0.003944141,0.0,5.355728e-48,170.000021,170.000004,125.548349,0.120557636,9.652709e-47,1.516328e-46,23.40185,0.05158272946603996,2,5.064116e-46,1.903247e-43,4.923692e-46,1.850471e-43,2.12777e-26
175.0,0.0,0.003944141,0.0,5.49282e-48,175.000021,175.000004,125.548349,0.120934361,9.921266e-47,1.557593e-46,23.41208,0.0527430242227981,2,4.980042e-46,1.7902059999999999e-43,4.84163e-46,1.74045e-43,2.109267e-26
180.0,0.0,0.003944141,0.0,5.629384e-48,180.000021,180.000004,125.548349,0.120087178,1.018748e-46,1.597708e-46,23.46304,0.05400183070080911,3,4.909082e-46,1.683385e-43,4.772158e-46,1.636432e-43,2.123322e-26
187.382,0.0,0.003944141,0.0,5.830328e-48,187.382021,187.382004,125.548349,0.120110551,1.057232e-46,1.654438e-46,23.4944,0.05553395937589483,3,4.76031e-46,1.5435409999999998e-43,4.626955e-46,1.5003e-43,2.126054e-26
208.057,0.0,0.003944141,0.0,6.402745e-48,208.05702,208.057003,125.548349,0.120167563,1.165544e-46,1.805163e-46,23.61645,0.060249850626094226,3,4.486535e-46,1.235945e-43,4.359716e-46,1.201009e-43,2.138643e-26
